threshold,TP,FP,FN,TN,net_benefit,operation_cost,ROI
0.75,2743,73,210,26974,307705,98560,3.1220068993506493
0.65,2786,115,167,26932,315265,101535,3.1049884276357904
0.7,2763,101,190,26946,310925,100240,3.1018056664006384
0.55,2818,141,135,26906,321075,103565,3.1002269106358327
0.5,2830,157,123,26890,323035,104545,3.0899134344062364
0.6,2796,133,157,26914,316735,102515,3.089645417743745
0.45,2836,168,117,26879,323910,105140,3.080749476887959
0.4,2846,181,107,26866,325555,105945,3.0728679975458966
0.35,2862,200,91,26847,328250,107170,3.062890734347299
0.3,2869,232,84,26815,328600,108535,3.0275947850923663
